district,mandal,industry_category,industry_type,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,year
Hyderabad,Amberpet,SMALL,Proprietary,DURGA PRINTERS,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),200000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,LODH VISUAL AIDS,"Gravure printing, digital printing on flex, vinyl",350000,5,Working,No,HT,NO,2021
Hyderabad,Amberpet,MEDIUM,Proprietary,VITAL THEARAPEUTICS PVT LTD,Tyres and tubes vulcanization/ hot retreating,300000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,A.N.S. FEBS AND ENGINEERING WORKS,Fish processing and packing (excluding chilling of fishes),200000,2,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,YOUNG INDIA CANE CRAFT,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)",200000,2,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,SUPREME ENGG WORKS,Repairing of electric motors and generators ( dry mechanical process),400000,4,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,HITECH PHARMACEUTICALS PRIVATE LIMITED,Power generation plant [exceptWind and Solar renewablepower plants of all capacities and Mini Hyde! power plant of capacity >25MW[,250000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,INTERNAL DECORATES,"Coke making, liquefaction, coal tar distillation or fuel gas making",350000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,PRAGATHI STEEL FURNITURE,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",250000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,ARIHANT PLASTICS & PACKINGS,Tyres and tubes vulcanization/ hot retreating,300000,4,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,SHRUTHIKESH INDUSTRIES,"Building and construction project more than 20,000 sq. m built up area",250000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,A.K. Leathers,Leather cutting and stitching (more than 10 machine and using motor),200000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,NASKON SOFT SOLUTIONS PVT LTD,Packing materials manufacturing from non asbestos fibre vegetable fibre yarn,350000,4,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,OM SAFETY PRODUCTS,Compact disc computer floppy and cassette manufacturing / Reel manufacturing,250000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,MADHURI UDITA SUCTION LIFTERS,Printing or etching of glass sheet usinghydrofluoric acid,220000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Proprietary,MEENAKSHI JEWELLERS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),300000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,FAB ENTERPRISES,Cotton spinning and weaving (medium and large scale),300000,3,Working,No,HT,NO,2021
Hyderabad,Amberpet,SMALL,Pvt Ltd,D M A FABRICATORS,"Solar power generation through solar photovoltaic cell, wind power and mini hydel power (less than 25 MW)",300000,5,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,DPSP,Electric lamp ( bulb) and GE manufacturing by assembling only,300000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,SUN SHINE ENGINEERING WORKS,Asbestos and asbestos basedindustries,300000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,NEO SOLAR CHEMICALS INTERPRISES,"Chlorine, fluorine, bromine,iodine and their compounds",250000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,LLP,SRI LAXMI SANITARY & HARDWARE,Airports and Commercial AirStrips,300000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,OM SAFETY PRODUCTS,Coated electrode manufacturing,260000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,TRISHIKA ENTERPRISES,Food and food processing including fruits and vegetable processing,350000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,MEDIUM,Proprietary,GULF FURNITURE,Leather cutting and stitching (more than 10 machine and using motor),500000,6,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,PRINT ARTS CORPORATION,Electrical and electronic item assembling ( completely dry process),200000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,M.SENOR INDUSTRIES PRIVATE LIMITED,Industrial estates / parks/complexes / areas / export processing zones/ SEZs / Biotech parks/ leather complex,350000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,CRESCENT ENGINEERING WORKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)",350000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,NV INDUSTRIES,Electric lamp ( bulb) and GE manufacturing by assembling only,300000,5,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,SHAFIYA ENTERPRISES,Milk processes and dairyproducts(integrated project),250000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,REES MEDI LIFE PRIVATE LIMITED,"Yarn / Textile processinginvolving any effluent/emission generating processes includingbleaching, dyeing, printing andcolouring",350000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,LIPPIA PRIVATE LIMITED,Rubber goods industry (with gas operated baby boiler),300000,4,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Pvt Ltd,sree lakshmi plastiics,Cotton spinning and weaving (medium and large scale),20000,3,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,CHANDRA MARKETING,Brickfields ( excluding fly ash brick manufacturing using lime process),200000,5,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,METRO AGARBATTI COMPANY,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),150000,2,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Partnership,MANNA WA SALWA FOODS PRIVATE LIMITED,Puffed rice (muri) (using gas or electrical heating system),340000,8,Working,No,HT,NO,2021
Hyderabad,Ameerpet,SMALL,Proprietary,DECCAN ENTERPRISES,Cotton and woolen hosiers making ( Dry process only without any dying / washing operation),400000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,MEDIUM,Proprietary,KVL CONSTRUCTIONS,Brickfields ( excluding fly ash brick manufacturing using lime process),100000,8,Working,No,HT,NO,2021
