district,mandal,industry_category,type_of_industry,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,district_name,mandal_name,employment,presentstatus,typeofindustry,typeofconnection
Hyderabad,Amberpet,Small,Proprietary,Durga Printers,Cardboard Or Corrugated Box And Paper Products (Excluding Paper Or Pulp Manufacturing And Without Using Boilers),200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Lodh Visual Aids,"Gravure Printing, Digital Printing On Flex, Vinyl",350000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Medium,Proprietary,Vital Thearapeutics Pvt Ltd,Tyres And Tubes Vulcanization/ Hot Retreating,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,A.N.S. Febs And Engineering Works,Fish Processing And Packing (Excluding Chilling Of Fishes),200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Young India Cane Craft,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Supreme Engg Works,Repairing Of Electric Motors And Generators ( Dry Mechanical Process),400000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Hitech Pharmaceuticals Private Limited,Power Generation Plant [Exceptwind And Solar Renewablepower Plants Of All Capacities And Mini Hyde! Power Plant Of Capacity >25Mw[,250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,Internal Decorates,"Coke Making, Liquefaction, Coal Tar Distillation Or Fuel Gas Making",350000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Pragathi Steel Furniture,"Modular Wooden Furniture From Particle Board, Mdf< Swan Timber Etc, Ceiling Tiles/ Partition Board From Saw Dust, Wood Chips Etc., And Other Agricultural Waste Using Synthetic Adhesive Resin, Wooden Box Making ( With Boiler)",250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Arihant Plastics & Packings,Tyres And Tubes Vulcanization/ Hot Retreating,300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Shruthikesh Industries,"Building And Construction Project More Than 20,000 Sq. M Built Up Area",250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,A.K. Leathers,Leather Cutting And Stitching (More Than 10 Machine And Using Motor),200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,Naskon Soft Solutions Pvt Ltd,Packing Materials Manufacturing From Non Asbestos Fibre Vegetable Fibre Yarn,350000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Om Safety Products,Compact Disc Computer Floppy And Cassette Manufacturing / Reel Manufacturing,250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,Madhuri Udita Suction Lifters,Printing Or Etching Of Glass Sheet Usinghydrofluoric Acid,220000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Proprietary,Meenakshi Jewellers,Engineering And Fabrication Units (Dry Process Without Any Heat Treatment / Metal Surface Finishing Operations / Painting),300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,Fab Enterprises,Cotton Spinning And Weaving (Medium And Large Scale),300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Amberpet,Small,Pvt Ltd,D M A Fabricators,"Solar Power Generation Through Solar Photovoltaic Cell, Wind Power And Mini Hydel Power (Less Than 25 Mw)",300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Dpsp,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Sun Shine Engineering Works,Asbestos And Asbestos Basedindustries,300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Neo Solar Chemicals Interprises,"Chlorine, Fluorine, Bromine,Iodine And Their Compounds",250000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Llp,Sri Laxmi Sanitary & Hardware,Airports And Commercial Airstrips,300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Om Safety Products,Coated Electrode Manufacturing,260000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Trishika Enterprises,Food And Food Processing Including Fruits And Vegetable Processing,350000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Medium,Proprietary,Gulf Furniture,Leather Cutting And Stitching (More Than 10 Machine And Using Motor),500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Print Arts Corporation,Electrical And Electronic Item Assembling ( Completely Dry Process),200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,M.Senor Industries Private Limited,Industrial Estates / Parks/Complexes / Areas / Export Processing Zones/ Sezs / Biotech Parks/ Leather Complex,350000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Crescent Engineering Works,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",350000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Nv Industries,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Shafiya Enterprises,Milk Processes And Dairyproducts(Integrated Project),250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Rees Medi Life Private Limited,"Yarn / Textile Processinginvolving Any Effluent/Emission Generating Processes Includingbleaching, Dyeing, Printing Andcolouring",350000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Lippia Private Limited,Rubber Goods Industry (With Gas Operated Baby Boiler),300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Pvt Ltd,Sree Lakshmi Plastiics,Cotton Spinning And Weaving (Medium And Large Scale),20000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Chandra Marketing,Brickfields ( Excluding Fly Ash Brick Manufacturing Using Lime Process),200000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Metro Agarbatti Company,Pharmaceutical Formulation For R & D Purpose (For Sustained Release/Extended Release Of Drugs Only And Not For Commercial Purpose),150000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Partnership,Manna Wa Salwa Foods Private Limited,Puffed Rice (Muri) (Using Gas Or Electrical Heating System),340000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Ameerpet,Small,Proprietary,Deccan Enterprises,Cotton And Woolen Hosiers Making ( Dry Process Only Without Any Dying / Washing Operation),400000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Medium,Proprietary,Kvl Constructions,Brickfields ( Excluding Fly Ash Brick Manufacturing Using Lime Process),100000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,Tas Apparels,"Isolated Storage Of Hazardouschemicals (As Per Schedule Of Manufacturing, Storage Ofhazardous Chemicals Rules ;1989As Amended)",300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,M K Tin Works,Fertilizer (Basic) (Excludingformulation),350000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,Blue Sea Snacks & Foods,Biscuits Trays Etc From Rolled Pvc Sheet (Using Automatic Vacuum Forming Machines),120000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,Sbms Industries,"Industries Engaged In Recycling/Reprocessing/ Recovery/ Reuse Of Hazardous Waste Under Schedule Iv Of Hw( M, H& Tbm) Rules, 2008 - Items Namely - Brass Dross,Copper Dross,Copper Oxide Mill Scale,Copper Reverts, Cake & Residues, Waste Copper And Copper Alloys In Dispersible Form, Slags From Copper Processing For Further Processing Or Refining, Insulated Copper Wire Scrap/Copper With Pvc Sheathing Including Isri-Code Material Namely ""Druid"" Jelly Filled Copper Cables ""Zinc Dross-Hot Dip Galvanizersslab, Zinc Dross-Bottom Dross, Zinc Ash/Skimming Arising From Galvanizing And Die Casting Operations, Zinc Ash/Skimming/ Other Zinc Bearing Wastes Arising From Smelting And Refining, Zinc Ash And Residues Including Zinc Alloy Residues In Dispersible From,",250000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Medium,Proprietary,Sunder Bookbinding Works,Printing Or Etching Of Glass Sheet Usinghydrofluoric Acid,600000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,Deccan Handicrafts,"Silk Screen Printing, Sari Printing By Wooden Blocks",300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Pvt Ltd,Caxton Offset Private Limited,Fountain Pen Manufacturing By Assembling Only,300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Small,Proprietary,Santosh Herbal Cosmetics,Cotton And Woolen Hosiers Making ( Dry Process Only Without Any Dying / Washing Operation),500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Asifnagar,Medium,Partnership,Kohinoor Packaging Industries,"Dry Coal Processing, Mineral Processing, Industries Involving Ore Sintering, Pelletisating, Grinding And Pulverisation",500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
